,block,rank,train_score,val_score,train_scores,val_scores,mse,F_tr,F_rt,dataset,subject,session
0,1,8,0.8836054846938776,0.8352857142857143,"[[0.81342857 0.82647959 0.83741837 0.85678571]
 [0.84288776 0.83278571 0.8557551  0.85284694]
 [0.78486735 0.78354082 0.79985714 0.8107449 ]
 [0.79073469 0.78589796 0.82690816 0.82997959]
 [0.80347959 0.82117347 0.80170408 0.82607143]]","[[0.81342857 0.82647959 0.83741837 0.85678571]
 [0.84288776 0.83278571 0.8557551  0.85284694]
 [0.78486735 0.78354082 0.79985714 0.8107449 ]
 [0.79073469 0.78589796 0.82690816 0.82997959]
 [0.80347959 0.82117347 0.80170408 0.82607143]]",9.433176622524314e-11,0.007157472467847125,0.0003056399891496432,BNCI2014-008,1,0
1,2,2,0.8885598214285715,0.8398857142857142,"[[0.86265306 0.86464286 0.85671429 0.85562245]
 [0.85560204 0.85434694 0.85267347 0.85116327]
 [0.81519388 0.81512245 0.81330612 0.81306122]
 [0.83367347 0.83408163 0.83312245 0.82752041]
 [0.83132653 0.83123469 0.83544898 0.83338776]]","[[0.86265306 0.86464286 0.85671429 0.85562245]
 [0.85560204 0.85434694 0.85267347 0.85116327]
 [0.81519388 0.81512245 0.81330612 0.81306122]
 [0.83367347 0.83408163 0.83312245 0.82752041]
 [0.83132653 0.83123469 0.83544898 0.83338776]]",9.420355933873475e-11,0.0072280457809089475,0.0003094315066141762,BNCI2014-008,1,0
2,3,2,0.8905844387755103,0.840926530612245,"[[0.86355102 0.86396939 0.85552041 0.85834694]
 [0.85565306 0.85282653 0.85428571 0.85095918]
 [0.81472449 0.81518367 0.81185714 0.81311224]
 [0.83528571 0.83352041 0.83269388 0.83256122]
 [0.83330612 0.83913265 0.83873469 0.83540816]]","[[0.86355102 0.86396939 0.85552041 0.85834694]
 [0.85565306 0.85282653 0.85428571 0.85095918]
 [0.81472449 0.81518367 0.81185714 0.81311224]
 [0.83528571 0.83352041 0.83269388 0.83256122]
 [0.83330612 0.83913265 0.83873469 0.83540816]]",9.38631805644306e-11,0.0072732692382704075,0.0003119356835907256,BNCI2014-008,1,0
3,4,1,0.8912836734693877,0.8408816326530613,"[[0.86547959 0.86193878 0.86058163 0.85676531]
 [0.85244898 0.85379592 0.85445918 0.85005102]
 [0.81508163 0.81467347 0.81334694 0.81478571]
 [0.83165306 0.83108163 0.83339796 0.83106122]
 [0.8397449  0.8409898  0.83758163 0.83694898]]","[[0.86547959 0.86193878 0.86058163 0.85676531]
 [0.85244898 0.85379592 0.85445918 0.85005102]
 [0.81508163 0.81467347 0.81334694 0.81478571]
 [0.83165306 0.83108163 0.83339796 0.83106122]
 [0.8397449  0.8409898  0.83758163 0.83694898]]",9.379235277483856e-11,0.007310275254447823,0.00031448209828029307,BNCI2014-008,1,0
4,5,2,0.8927795918367348,0.8405224489795916,"[[0.86363265 0.86270408 0.85643878 0.85538776]
 [0.85226531 0.85467347 0.85458163 0.85095918]
 [0.81518367 0.81478571 0.81395918 0.81669388]
 [0.83180612 0.83176531 0.83103061 0.82906122]
 [0.8395102  0.83868367 0.83822449 0.83718367]]","[[0.86363265 0.86270408 0.85643878 0.85538776]
 [0.85226531 0.85467347 0.85458163 0.85095918]
 [0.81518367 0.81478571 0.81395918 0.81669388]
 [0.83180612 0.83176531 0.83103061 0.82906122]
 [0.8395102  0.83868367 0.83822449 0.83718367]]",9.354993082863842e-11,0.007353403230547435,0.0003191136851366046,BNCI2014-008,1,0
5,6,1,0.8929068877551021,0.8404061224489796,"[[0.86232653 0.86073469 0.85839796 0.85590816]
 [0.85537755 0.85417347 0.85314286 0.85137755]
 [0.81490816 0.81315306 0.81117347 0.81112245]
 [0.83120408 0.83088776 0.83213265 0.83222449]
 [0.83821429 0.83810204 0.83733673 0.83482653]]","[[0.86232653 0.86073469 0.85839796 0.85590816]
 [0.85537755 0.85417347 0.85314286 0.85137755]
 [0.81490816 0.81315306 0.81117347 0.81112245]
 [0.83120408 0.83088776 0.83213265 0.83222449]
 [0.83821429 0.83810204 0.83733673 0.83482653]]",9.34397870854463e-11,0.0073801273894490505,0.0003198498661163843,BNCI2014-008,1,0
6,7,1,0.8929942602040816,0.8399591836734693,"[[0.86134694 0.85868367 0.8625102  0.85728571]
 [0.85363265 0.85233673 0.85256122 0.8509898 ]
 [0.8149898  0.8165     0.81437755 0.80620408]
 [0.83082653 0.83107143 0.82917347 0.83029592]
 [0.839      0.83810204 0.83733673 0.8355102 ]]","[[0.86134694 0.85868367 0.8625102  0.85728571]
 [0.85363265 0.85233673 0.85256122 0.8509898 ]
 [0.8149898  0.8165     0.81437755 0.80620408]
 [0.83082653 0.83107143 0.82917347 0.83029592]
 [0.839      0.83810204 0.83733673 0.8355102 ]]",9.330322729659093e-11,0.007408895135685859,0.000321524936323059,BNCI2014-008,1,0
7,8,1,0.8930397959183672,0.8399326530612246,"[[0.86129592 0.85889796 0.86017347 0.85466327]
 [0.85390816 0.85304082 0.85188776 0.85066327]
 [0.81497959 0.81466327 0.8120102  0.80771429]
 [0.83052041 0.83052041 0.83011224 0.83058163]
 [0.83895918 0.83832653 0.83930612 0.83552041]]","[[0.86129592 0.85889796 0.86017347 0.85466327]
 [0.85390816 0.85304082 0.85188776 0.85066327]
 [0.81497959 0.81466327 0.8120102  0.80771429]
 [0.83052041 0.83052041 0.83011224 0.83058163]
 [0.83895918 0.83832653 0.83930612 0.83552041]]",9.317913460267994e-11,0.007431972756455876,0.00032198687789608375,BNCI2014-008,1,0
8,9,1,0.8932214285714286,0.8394244897959183,"[[0.861      0.85821429 0.85966327 0.85821429]
 [0.85328571 0.85142857 0.85360204 0.8507449 ]
 [0.81366327 0.81534694 0.81390816 0.80594898]
 [0.83031633 0.83031633 0.83145918 0.82980612]
 [0.83885714 0.83858163 0.8382449  0.83691837]]","[[0.861      0.85821429 0.85966327 0.85821429]
 [0.85328571 0.85142857 0.85360204 0.8507449 ]
 [0.81366327 0.81534694 0.81390816 0.80594898]
 [0.83031633 0.83031633 0.83145918 0.82980612]
 [0.83885714 0.83858163 0.8382449  0.83691837]]",9.300368858562061e-11,0.007464368652971902,0.00032363809724013804,BNCI2014-008,1,0
9,10,1,0.89321875,0.839330612244898,"[[0.86083673 0.85864286 0.86064286 0.85626531]
 [0.85310204 0.8529898  0.85132653 0.84976531]
 [0.81361224 0.81232653 0.81294898 0.8065102 ]
 [0.83023469 0.83022449 0.82997959 0.83038776]
 [0.83886735 0.83822449 0.83888776 0.83635714]]","[[0.86083673 0.85864286 0.86064286 0.85626531]
 [0.85310204 0.8529898  0.85132653 0.84976531]
 [0.81361224 0.81232653 0.81294898 0.8065102 ]
 [0.83023469 0.83022449 0.82997959 0.83038776]
 [0.83886735 0.83822449 0.83888776 0.83635714]]",9.284352617894648e-11,0.007489165467149175,0.0003241071539499642,BNCI2014-008,1,0
10,11,4,0.8955494897959184,0.8392714285714286,"[[0.86047959 0.85760204 0.85923469 0.85710204]
 [0.85288776 0.85138776 0.85359184 0.85018367]
 [0.81361224 0.81369388 0.81446939 0.80619388]
 [0.82991837 0.82985714 0.83009184 0.82896939]
 [0.83863265 0.83840816 0.83896939 0.83688776]]","[[0.86047959 0.85760204 0.85923469 0.85710204]
 [0.85288776 0.85138776 0.85359184 0.85018367]
 [0.81361224 0.81369388 0.81446939 0.80619388]
 [0.82991837 0.82985714 0.83009184 0.82896939]
 [0.83863265 0.83840816 0.83896939 0.83688776]]",8.970850141203483e-11,0.0075421612080741616,0.00032879924337264133,BNCI2014-008,1,0
